id, title, address, is_inquiry
1240, "구름계곡 오토캠핑장", "경기 가평군 북면 제령아랫말길 71 (제령리)", 0
3991, "올레유캠핑장", "충남 태안군 원북면 동해길 201 (동해리) 동해리 95", 0
4015, "지리산가는길 903 캠핑장", "경남 함양군 휴천면 지리산가는길 903 (월평리)", 0
3196, "모디이캠핑장 (구 산내들 패밀리 어드벤처파크)", "경북 김천시 지례면 부항로 109-38 (도곡리)", 0
14357, "더본캠핑장", "경기 양평군 서종면 화서로 706-44 (명달리) 더본캠핑장", 0
1827, "서천 해양 캠핑장/글램핑장", "충남 서천군 서면 서인로 288-19 (마량리, 서천해양박물관)", 0
1917, "산청지막계곡캠핑장", "경남 산청군 금서면 지막리 산147-5", 0
3155, "돌배2야영장 (오토캠핑장)", "강원 인제군 북면 만해로 149 (용대리) 돌배2야영장", 0
2047, "담터 오지캠핑장", "경기 포천시 관인면 담터길 409 (삼율리)", 0
2116, "춘장대 아이사랑캠핑장", "충남 보령시 주산면 사작골길 13-13 (유곡리)", 0
3894, "마음껏 남해(구.동창선 아트스테이)", "경남 남해군 창선면 연곡로 13 (오용리, 동창선초등학교)", 0
13626, "이른아침캠핑장&바베큐장", "충북 충주시 앙성면 가곡로 1201 (사미리) 이른아침캠핑장&바베큐장", 0
740, "하동다목적캠핑장", "경남 하동군 옥종면 옥단로 1830 (두양리) 하동다목적캠핑장", 0
4061, "태안 더빌리지", "충남 태안군 근흥면 마금로 184 (마금리)", 0
2800, "충북대학교 천문대체험학교캠핑장", "충북 진천군 문백면 은진로 29 (은탄리, 충북대학교천문대)", 0
3714, "학현 아름마을오토캠핑장", "충북 제천시 청풍면 학현소야로 206 (학현리)", 0
2571, "예원캠핑장", "전북 완주군 동상면 송광수만로 1079-126 (수만리) 예원캠핑장(계곡 최상류)", 0
13839, "파도와노을캠핑장", "충남 태안군 소원면 아치내길 60-70", 0
14347, "옴니버스캠핑장", "경기 연천군 장남면 장백로 391 (원당리)", 0
2069, "우리들캠핑장&글램핑", "경기 가평군 북면 화악산로 245 (소법리)", 0
1697, "가평포시즌캠핑장", "경기 가평군 북면 화악산로 1039-9 (화악리)", 0
4251, "산바라기 체험학교", "경기 가평군 조종면 명지산로 83 (운악리, 운악초등학교)", 0
9193, "수리바위캠핑정원", "충남 부여군 외산면 만수리 65-3", 0
1896, "피플앤독 힐링캠프", "충남 예산군 신양면 귀곡동절길 28 (귀곡리)", 0
3756, "솔베이오토캠핑장", "충북 괴산군 감물면 충민로 1083-12 (백양리)", 0
14344, "백마강레저파크(카라반캠핑장)", "충남 부여군 규암면 왕흥로 424 (호암리)", 0
4202, "서해바다 캠프원", "충남 서산시 대산읍 벌천포길 158-48 (오지리) .", 0
1617, "두레캠핑장", "경기 가평군 청평면 상천리  1495-1", 0
2733, "캠프더포레", "경남 함양군 서상면 부전계곡로 245 (옥산리) 캠프더포레(구,힐빙캠핑장)", 0
2079, "밀양얼음골 향림펜션&캠핑장", "경남 밀양시 산내면 얼음골로 134-25 (삼양리)", 0
2078, "도리돌캠핑장", "경기 포천시 이동면 화동로 2464-1 (도평리)", 0
13572, "가평뷰캠핑장", "경기 가평군 북면 소법리 161-5 (화악산로 270)", 0
3941, "나로우주캠핑장 (구)동포갯벌체험장", "전남 고흥군 동일면 동포길 93 (백양리, 관광숙박시설)", 0
1862, "블루마린 캠핑장", "경기 여주시 능서면 중부대로 2545-74 (번도리) 번도리", 0
1964, "가평 캠핑스마일", "경기 가평군 조종면 연인산로474번길 91-27 (마일리)", 0
3805, "통영에코파크", "경남 통영시 산양읍 연대길 109 (연곡리)", 0
7334, "형제섬 캠프타운", "전남 고흥군 동일면 우주로 2468-12 (백양리)", 0
3901, "두드림캠핑장", "경북 영천시 청통면 구정길 53-77 (죽정리)", 0
3418, "별곰캠핑힐", "경남 하동군 청암면 사동길 2 (상이리)", 0
7336, "가자!우리집 캠핑장", "충북 괴산군 칠성면 쌍곡로 503 (쌍곡리)", 0
3638, "홍천 캠프인디오", "강원 홍천군 동면 후동길128번길 53 (후동리)", 0
5178, "비발디하우스 캠핑&펜션", "경기 포천시 이동면 금강로 6393 이동면 금강로 6393", 0
2469, "동상힐링캠핑장", "전북 완주군 동상면 동상주천로 160-27 (신월리)", 0
1874, "경주힐링캠프", "경북 경주시 산내면 감산리 2088", 0
4190, "아침햇살 청소년 야영장", "경기 포천시 관인면 찬우물길 177 (냉정리) 가동", 0
5802, "별애드림(별愛Dream) 캠핑장", "충북 영동군 심천면 난계로 712-42 (각계리)", 0
1767, "동해 카라반 펜션", "울산 울주군 온산읍 강양길 162 (강양리, 동해횟집) 동해카라반펜션", 0
13793, "태안 올레유 캠핑장", "충남 태안군 원북면 동해길 201", 0
13595, "서후리 캠핑장", "경기 양평군 서종면 서차남1길 4 (서후리)", 0
4127, "평화누리캠핑 IN 연천", "경기 연천군 장남면 원당리 678", 0
3347, "글램핑클럽레스피아 in 태안", "충남 태안군 소원면 구름포길 117 (의항리)", 0
4231, "배론의아침 캠핑장", "충북 제천시 봉양읍 배론성지길 167-28 (구학리)", 0
4052, "도담캠핑장", "강원 홍천군 서면 개야로 357-18 (개야리)", 0
2336, "양평 산울림 캠핑장", "경기 양평군 양동면 불개터길 65-19 (삼산리)", 0
1751, "철원가산농원 캠핑장", "강원 철원군 갈말읍 상사리 628-3", 0
3446, "가평 용소캠핑장", "경기 가평군 북면 가화로 2411-32 (도대리)", 0
1064, "에뜨 유명산캠핑장", "경기 가평군 설악면 유명산길 124-17 (가일리) 에뜨 유명산 오토캠핑장", 0
13577, "또와또캠핑장", "강원 화천군 상서면 만산동로 930 (구운리)", 0
6910, "포천 그린별 캠핑장", "경기 포천시 신북면 탑신로 1431 (덕둔리) 지번 103-4번지", 0
3979, "가평 알프스 캠핑장 펜션", "경기 가평군 설악면 어비산길 26 (가일리)", 0
4007, "완도명사십리 오토캠핑장", "전남 완도군 신지면 명사십리61번길 54 (신리) 완도면사십리오토캠핑장", 0
4123, "글램핑&카라반 클럽레스피아 in 남양주 2호점", "경기 남양주시 수동면 비룡로 1738-23 (내방리)", 0
7357, "파인트리오토캠핑장", "경기 포천시 이동면 화동로 1925-63", 0
2068, "서석캠핑장", "강원 홍천군 서석면 고분대월길 67 (생곡리)", 0
3486, "덕산해변 캠핑장", "강원 삼척시 근덕면 덕산해변길 82 (덕산리, 캠프장관리소) 덕산해변 바다정원 캠핑장", 0
1797, "마이웨이리조트 캠핑존", "경남 밀양시 산외면 엄광길 103-14 (엄광리)", 0
13606, "포천 아르테미스 글램핑", "경기 포천시 영중면 호국로 3226-37 (성동리)", 0
4269, "강화 크로바 캠핑장", "인천 강화군 길상면 해안남로 497-4 길상면 해안남로 497-4", 0
3662, "담터 금학캠핑장", "경기 포천시 관인면 담터길 339 (삼율리)", 0
13631, "지파크[G-PARK]", "경기 양평군 단월면 한서로 1355 (석산리)", 0
7407, "수피아캠핑", "경남 합천군 봉산면 합천호반로 954", 0
9194, "변산오토캠핑장", "전북 부안군 변산면 변산로 2054 (대항리)", 0
3324, "고령 소망캠핑장", "경북 고령군 운수면 대가야로 1850 (월산리)", 0
1914, "산아래캠핑장", "경기 포천시 관인면 담터길 275 (삼율리)", 0
3633, "스테이더딜라잇 가든캠핑장", "충남 태안군 원북면 신두로 690-57 (신두리)", 0
3965, "청천 사립수목원 캠핑장", "충북 괴산군 청천면 도원1길 68 (도원리, 청천사립수목원) 560ㅡ15", 0
4427, "팔공마루 캠핑&캠프닉", "대구 군위군 부계면 원효길 30 (동산리)", 0
3893, "금산 만악리 수목원 카라반 오토캠핑장", "충남 금산군 진산면 초미동길 138-10 (만악리) 금산 만악리 수목원캠핑장", 0
3730, "와룡천 캠핑장", "강원 영월군 남면 송정길 53 (연당리)", 0
3319, "완주 로뎀하우스", "전북 완주군 운주면 금고당로 1070-10 (고당리) 캠핏에서 예약가능합니다", 0
2887, "하늘구름길캠핑장", "전북 임실군 성수면 왕방길 360 (왕방리)", 0
4260, "양지마을 야영장", "경남 거창군 신원면 밤티재로 1 (양지리)", 0
3455, "홍천 J캠핑장", "강원 홍천군 내면 소한동길 301 (창촌리)", 0
3915, "꽃댕이오토캠핑장", "충북 제천시 백운면 화당로2길 176 (화당리)", 0
3916, "아이캠퍼 캠핑장", "경기 양평군 청운면 목내미길 83-219 (가현리) 양평숲 비룡캠프장_아이캠퍼존", 0
3083, "엘리시안강촌 캠핑파크", "강원 춘천시 남산면 북한강변길 688 (백양리, 강촌CC) 엘리시안 리조트 캠핑파크", 0
3751, "소노카페 오토캠핑", "강원 홍천군 서면 개야로 357-28 (개야리)", 0
7436, "지동잣숲캠핑장", "경기 포천시 신북면 지동길 114-13", 0
13596, "용인 리틀 올림픽", "경기 용인시 기흥구 신고매로 59 (고매동) 2층 야외 리틀올림픽", 0
3924, "솔밭캠프", "충북 괴산군 칠성면 쌍곡로 322 (쌍곡리)", 0
1596, "상주우산캠핑장", "경북 상주시 외서면 채릉산로 752 (우산리) 상주우산캠핑장", 0
2943, "변산힐링밸리 독채펜션과카라반", "전북 부안군 진서면 참뽕로 175 (운호리)", 0
3994, "내린천 보랏빛 캠핑장", "강원 인제군 상남면 아홉사리로 2848 (상남리)", 0
4008, "달리도캠핑장", "전남 목포시 달동 산98-5", 0
