[Sun Oct 22 18:00:00 KST 2023] Script started

> product_crawling@1.0.58 update:shop
> ts-node ./home_shopping_update

Start fetching shop list 2023-10-22T09:00:05.105Z
[56/177] Complete schedule_id: 387 https://m.livehs.co.kr/product/detail/338453648 2023-10-22T09:00:57.710Z
[57/177] Complete schedule_id: 388 https://m.livehs.co.kr/product/detail/338461196 2023-10-22T09:00:58.562Z
[58/177] Complete schedule_id: 389 https://m.livehs.co.kr/product/detail/338453677 2023-10-22T09:00:59.457Z
[59/177] Complete schedule_id: 390 https://m.livehs.co.kr/product/detail/338453617 2023-10-22T09:01:00.698Z
[60/177] Complete schedule_id: 391 https://m.livehs.co.kr/product/detail/338461197 2023-10-22T09:01:01.605Z
[61/177] Complete schedule_id: 392 https://m.livehs.co.kr/product/detail/338720895 2023-10-22T09:01:02.664Z
[62/177] Complete schedule_id: 393 https://m.livehs.co.kr/product/detail/338535947 2023-10-22T09:01:03.552Z
[63/177] Complete schedule_id: 394 https://m.livehs.co.kr/product/detail/338484863 2023-10-22T09:01:04.546Z
[64/177] Complete schedule_id: 395 https://m.livehs.co.kr/product/detail/338453627 2023-10-22T09:01:05.503Z
[65/177] Complete schedule_id: 396 https://m.livehs.co.kr/product/detail/338453417 2023-10-22T09:01:06.473Z
[66/177] Complete schedule_id: 397 https://m.livehs.co.kr/product/detail/338453592 2023-10-22T09:01:07.278Z
[67/177] Complete schedule_id: 398 https://m.livehs.co.kr/product/detail/338461203 2023-10-22T09:01:08.158Z
[68/177] Complete schedule_id: 399 https://m.livehs.co.kr/product/detail/338676627 2023-10-22T09:01:09.086Z
[69/177] Complete schedule_id: 400 https://m.livehs.co.kr/product/detail/338676216 2023-10-22T09:01:09.947Z
[70/177] Complete schedule_id: 401 https://m.livehs.co.kr/product/detail/338927313 2023-10-22T09:01:11.171Z
[71/177] Complete schedule_id: 402 https://m.livehs.co.kr/product/detail/338676551 2023-10-22T09:01:12.054Z
[72/177] Complete schedule_id: 403 https://m.livehs.co.kr/product/detail/338676581 2023-10-22T09:01:12.974Z
[73/177] Complete schedule_id: 404 https://m.livehs.co.kr/product/detail/338676583 2023-10-22T09:01:13.822Z
[74/177] Complete schedule_id: 405 https://m.livehs.co.kr/product/detail/338676647 2023-10-22T09:01:14.693Z
[75/177] Complete schedule_id: 406 https://m.livehs.co.kr/product/detail/338683474 2023-10-22T09:01:15.732Z
[76/177] Complete schedule_id: 407 https://m.livehs.co.kr/product/detail/338918916 2023-10-22T09:01:16.762Z
[77/177] Complete schedule_id: 408 https://m.livehs.co.kr/product/detail/338676403 2023-10-22T09:01:17.699Z
[78/177] Complete schedule_id: 409 https://m.livehs.co.kr/product/detail/338683488 2023-10-22T09:01:18.604Z
[79/177] Complete schedule_id: 410 https://m.livehs.co.kr/product/detail/338676586 2023-10-22T09:01:19.384Z
[80/177] Complete schedule_id: 411 https://m.livehs.co.kr/product/detail/338683499 2023-10-22T09:01:20.368Z
[81/177] Complete schedule_id: 412 https://m.livehs.co.kr/product/detail/338676556 2023-10-22T09:01:21.280Z
[82/177] Complete schedule_id: 413 https://m.livehs.co.kr/product/detail/338683510 2023-10-22T09:01:22.704Z
[83/177] Complete schedule_id: 414 https://m.livehs.co.kr/product/detail/338676405 2023-10-22T09:01:23.612Z
[84/177] Complete schedule_id: 415 https://m.livehs.co.kr/product/detail/338683512 2023-10-22T09:01:24.538Z
[85/177] Complete schedule_id: 416 https://m.livehs.co.kr/product/detail/338676602 2023-10-22T09:01:25.422Z
[86/177] Complete schedule_id: 417 https://m.livehs.co.kr/product/detail/338676410 2023-10-22T09:01:26.248Z
[87/177] Complete schedule_id: 418 https://m.livehs.co.kr/product/detail/338927436 2023-10-22T09:01:27.284Z
[88/177] Complete schedule_id: 419 https://m.livehs.co.kr/product/detail/338676414 2023-10-22T09:01:28.538Z
[89/177] Complete schedule_id: 420 https://m.livehs.co.kr/product/detail/338676626 2023-10-22T09:01:29.490Z
[90/177] Complete schedule_id: 421 https://m.livehs.co.kr/product/detail/338676417 2023-10-22T09:01:30.491Z
